,num_layers,d_model,dff,num_heads,dropout_rate,warmup_steps,batch_size,beta_1,beta_2,epsilon,activation,sequential,val_accuracy
3,8,320,1536,10,0.1,2500,64,0.9,0.98,1e-09,relu,True,0.407100051641464
22,6,128,1280,6,0.4,2500,64,0.9,0.98,1e-09,relu,True,0.428769022226333
28,8,384,1280,6,0.4,3500,64,0.9,0.98,1e-09,relu,True,0.431074231863021
1,6,64,2048,10,0.30000000000000004,2500,64,0.9,0.98,1e-09,relu,True,0.43430152535438504
13,6,448,1536,10,0.30000000000000004,3500,64,0.9,0.98,1e-09,relu,True,0.43937298655509904
6,8,320,1536,6,0.1,3000,64,0.9,0.98,1e-09,relu,True,0.44213923811912503
30,6,192,1280,6,0.4,3000,64,0.9,0.98,1e-09,relu,True,0.44306132197380005
9,6,448,1536,6,0.30000000000000004,4000,64,0.9,0.98,1e-09,relu,True,0.44536653161048806
20,8,256,1792,6,0.4,4500,64,0.9,0.98,1e-09,relu,True,0.446288615465164
52,4,320,1536,8,0.1,5500,64,0.9,0.98,1e-09,relu,True,0.44813278317451405
23,8,64,1280,4,0.4,4500,64,0.9,0.98,1e-09,relu,True,0.44859382510185203
2,8,512,1536,10,0.30000000000000004,5500,64,0.9,0.98,1e-09,relu,True,0.45089903473854004
46,2,192,512,10,0.30000000000000004,2500,64,0.9,0.98,1e-09,relu,True,0.45089903473854004
26,6,64,1024,6,0.4,5000,64,0.9,0.98,1e-09,relu,True,0.45182111859321505
24,8,320,1280,8,0.2,5500,64,0.9,0.98,1e-09,relu,True,0.45228216052055303
0,6,256,1536,10,0.2,4000,64,0.9,0.98,1e-09,relu,True,0.45228216052055303
15,6,448,1280,4,0.1,3000,64,0.9,0.98,1e-09,relu,True,0.452743202447891
54,8,512,768,10,0.1,2500,64,0.9,0.98,1e-09,relu,True,0.45320424437522805
10,4,192,1536,6,0.2,4500,64,0.9,0.98,1e-09,relu,True,0.45366528630256603
8,4,256,1536,4,0.2,3500,64,0.9,0.98,1e-09,relu,True,0.455048412084579
7,2,448,1280,6,0.4,5500,64,0.9,0.98,1e-09,relu,True,0.456431537866592
34,4,128,768,8,0.1,3500,64,0.9,0.98,1e-09,relu,True,0.45689257979393005
27,2,320,2048,4,0.30000000000000004,5000,64,0.9,0.98,1e-09,relu,True,0.457814663648605
53,8,320,512,10,0.1,2500,64,0.9,0.98,1e-09,relu,True,0.45965883135795504
35,6,192,1024,6,0.1,5500,64,0.9,0.98,1e-09,relu,True,0.45965883135795504
55,2,128,1024,10,0.1,4000,64,0.9,0.98,1e-09,relu,True,0.45965883135795504
33,4,320,1024,4,0.1,5500,64,0.9,0.98,1e-09,relu,True,0.46058091521263106
21,8,128,1792,6,0.1,5000,64,0.9,0.98,1e-09,relu,True,0.46104195713996804
60,2,128,1536,10,0.2,5000,64,0.9,0.98,1e-09,relu,True,0.46104195713996804
44,6,320,1792,4,0.1,5500,64,0.9,0.98,1e-09,relu,True,0.46104195713996804
